rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0074.jpg,29.6,0.7294,0.7921,0.4444,1.0,7,4,False,True
2,frame_0073.jpg,29.2,0.7289,0.6577,0.6667,1.0,7,6,False,False
3,frame_0291.jpg,116.4,0.7269,0.7178,0.6667,0.84,7,6,False,True
4,frame_0000.jpg,0.0,0.7208,0.7082,0.5556,1.0,6,5,False,True
5,frame_0033.jpg,13.2,0.6886,0.6438,0.5556,1.0,7,5,False,True
6,frame_0124.jpg,49.6,0.6844,0.7634,0.5556,0.68,6,5,False,True
7,frame_0031.jpg,12.4,0.67,0.6733,0.4444,1.0,7,4,False,False
8,frame_0169.jpg,67.6,0.6564,0.7047,0.6667,0.52,6,6,False,True
9,frame_0378.jpg,151.2,0.6556,0.8792,0.6667,0.08,10,6,False,True
10,frame_0001.jpg,0.4,0.6554,0.7108,0.3333,1.0,7,3,False,False
11,frame_0070.jpg,28.0,0.6546,0.7093,0.3333,1.0,5,3,False,False
12,frame_0329.jpg,131.6,0.651,0.7366,0.8889,0.08,11,8,False,True
13,frame_0129.jpg,51.6,0.644,0.736,0.3333,0.88,5,3,False,True
14,frame_0077.jpg,30.8,0.6413,0.7306,0.3333,0.88,7,3,False,False
15,frame_0284.jpg,113.6,0.6413,0.792,0.4444,0.56,5,4,False,True
16,frame_0290.jpg,116.0,0.6318,0.6103,0.5556,0.8,7,5,False,False
17,frame_0072.jpg,28.8,0.6275,0.5883,0.4444,1.0,6,4,False,False
18,frame_0069.jpg,27.6,0.619,0.5714,0.4444,1.0,5,4,False,True
19,frame_0328.jpg,131.2,0.6186,0.6052,1.0,0.08,10,9,False,False
20,frame_0132.jpg,52.8,0.6166,0.4999,0.5556,1.0,7,5,False,False
21,frame_0030.jpg,12.0,0.6159,0.5651,0.4444,1.0,6,4,False,False
22,frame_0032.jpg,12.8,0.6157,0.5648,0.4444,1.0,6,4,False,False
23,frame_0276.jpg,110.4,0.6122,0.7283,0.6667,0.24,7,6,False,True
